Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"~$NEW RECORD.xlsx","2024-04-19 15:59:06 WAT","0000-00-00 00:00:00","2024-04-19 00:00:00 WAT","2024-04-19 15:59:04 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$NEW RECORD.xlsx",,,,xlsx
"~$VIP.xlsx","2024-02-22 15:47:50 WAT","0000-00-00 00:00:00","2024-02-22 00:00:00 WAT","2024-02-22 15:47:48 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$VIP.xlsx",,,,xlsx
AISHAAA.xlsx,"2024-03-08 14:52:04 WAT","0000-00-00 00:00:00","2024-03-11 00:00:00 WAT","2024-03-08 14:55:31 WAT",17339,Unallocated,Unallocated,unknown,/img_D:/AISHAAA.xlsx,,,,xlsx
"~$STATE OFFICE 22-02-2024(3) OYO.xlsx","2024-02-22 15:52:54 WAT","0000-00-00 00:00:00","2024-02-22 00:00:00 WAT","2024-02-22 15:52:53 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$STATE OFFICE 22-02-2024(3) OYO.xlsx",,,,xlsx
"Biometrics Annual_work_plan2024.xlsx","2024-06-10 13:27:32 WAT","0000-00-00 00:00:00","2024-10-06 00:00:00 WAT","2024-06-10 15:43:55 WAT",11498,Unallocated,Unallocated,unknown,"/img_D:/Biometrics Annual_work_plan2024.xlsx",,,,xlsx
"~$Biometrics Annual_work_plan2024.xlsx","2024-06-10 15:40:18 WAT","0000-00-00 00:00:00","2024-06-10 00:00:00 WAT","2024-06-10 15:40:17 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$Biometrics Annual_work_plan2024.xlsx",,,,xlsx
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-10-17 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
CEFHelper.exe,"2020-07-24 02:05:44 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:01:40 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2020-07-24 02:03:14 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:01:40 WAT",81920,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-07-24 02:04:58 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:01:40 WAT",166411,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-24 02:05:44 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:03:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2020-07-24 02:03:14 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:03:11 WAT",81920,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-07-24 02:04:58 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:03:11 WAT",166411,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-24 02:05:44 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:04:23 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2020-07-24 02:03:14 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:04:24 WAT",81920,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-07-24 02:04:58 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:04:24 WAT",166411,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
